Nama Kost,Jenis Kost,Harga Mentah,Fasilitas,Daerah,Lokasi
Kost New Pondok Gloria Tipe B,Putri,Rp1.700.000,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Kecamatan Lowokwaru,Malang
Kost Mami Tipe B,Putra,Rp905.000,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Lowokwaru,Malang
Kost Khodijah,Putri,Rp1.000.000,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Kecamatan Lowokwaru,Malang
Kost Cemara Tidar Tipe B,Putra,Rp1.350.000,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Sukun,Malang
Kost Loka 1 Tipe B,Campur,Rp800.000,WiFi·AC·Kloset Duduk·Kasur,Blimbing,Malang
Kost Astri,Putra,Rp1.500.000,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Kecamatan Blimbing,Malang
Kost Mamakos Tipe A,Putri,Rp810.000,WiFi·Kasur·Akses 24 Jam,Kecamatan Lowokwaru,Malang
Kost Kedawung Single Fan KMD,Putri,Rp1.000.000,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Kecamatan Lowokwaru,Malang
Kost 7B Living,Putra,Rp1.300.000,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Kecamatan Lowokwaru,Malang
Kost Sembilan C Dan D Tipe Economy 2,Putri,Rp875.000,WiFi·Kloset Duduk·Kasur,Kecamatan Lowokwaru,Malang
